call_duration,call_revenue,category,company_size,date,team,units_sold
127.19999999999999,1461,electronics,medium,19/12/2017,south,103
113.39999999999999,1585,electronics,medium,19/12/2017,west,108
348,1051,appliances,medium,19/12/2017,northeast,463
116.80000000000001,463,furniture,small,19/12/2017,south,14
31.2,2430,electronics,medium,19/12/2017,west,138
42.3,5855,electronics,large,19/12/2017,northeast,403
381,572,appliances,small,19/12/2017,northeast,179
187.79999999999998,429,electronics,medium,19/12/2017,south,62
358,1693,materials,medium,19/12/2017,west,683
594.4,2188,furniture,large,19/12/2017,west,81
187.5,2199,appliances,medium,19/12/2017,south,697
120.5,354,appliances,small,19/12/2017,south,123
165.9,1638,electronics,medium,19/12/2017,west,133
193.5,3448,appliances,medium,19/12/2017,west,778
121.8,363,electronics,small,19/12/2017,northeast,24
132.5,1598,materials,medium,19/12/2017,northeast,479
70.4,2510,furniture,medium,19/12/2017,south,55
419.20000000000005,424,furniture,small,19/12/2017,south,9
57,1339,materials,medium,19/12/2017,midwest,469
74.4,2416,furniture,medium,19/12/2017,west,84
106.8,453,electronics,small,19/12/2017,west,34
142.2,351,electronics,small,19/12/2017,south,31
67.5,674,electronics,small,19/12/2017,northeast,43
217.5,1383,electronics,medium,19/12/2017,west,107
252.5,4589,appliances,large,19/12/2017,west,1434
544,961,furniture,medium,19/12/2017,west,22
120,1399,electronics,medium,19/12/2017,west,78
163.79999999999998,1993,electronics,medium,19/12/2017,south,118
341.5,2036,appliances,medium,19/12/2017,midwest,522
85.5,3716,electronics,large,19/12/2017,west,366
269.6,454,furniture,small,19/12/2017,northeast,11
121.5,1846,materials,medium,19/12/2017,northeast,675
270,5501,appliances,large,19/12/2017,south,1715
160.5,2238,electronics,medium,19/12/2017,south,158
199.79999999999998,1991,electronics,medium,19/12/2017,northeast,165
281.6,3403,furniture,medium,19/12/2017,west,63
283.2,561,furniture,small,19/12/2017,midwest,14
131.20000000000002,960,furniture,medium,19/12/2017,northeast,24
201.5,471,appliances,small,19/12/2017,northeast,149
171,728,materials,small,19/12/2017,west,174
249,3566,electronics,large,19/12/2017,west,197
27.9,2066,electronics,medium,19/12/2017,northeast,134
222,407,appliances,small,19/12/2017,south,134
16.8,557,electronics,small,19/12/2017,south,35
219.5,304,materials,small,19/12/2017,west,159
17.7,4462,electronics,large,19/12/2017,northeast,351
168.29999999999998,2516,electronics,large,19/12/2017,west,246
156,279,electronics,small,19/12/2017,northeast,18
124.5,3143,electronics,large,19/12/2017,northeast,284
108,807,appliances,small,19/12/2017,west,210
347.20000000000005,8108,furniture,large,19/12/2017,midwest,168
204.29999999999998,2301,electronics,medium,19/12/2017,south,136
28.8,1754,furniture,medium,19/12/2017,south,41
320.8,3319,furniture,large,19/12/2017,south,86
183,636,electronics,medium,19/12/2017,northeast,69
155,1184,materials,medium,19/12/2017,west,460
252.6,727,electronics,small,19/12/2017,west,34
234.5,1924,appliances,medium,19/12/2017,midwest,854
175.2,467,electronics,small,12/12/2017,south,31
144.6,1375,electronics,medium,12/12/2017,northeast,151
114,2398,electronics,large,12/12/2017,west,187
272.5,1206,appliances,medium,12/12/2017,west,442
213.5,546,materials,medium,12/12/2017,northeast,533
261.5,2138,appliances,large,12/12/2017,midwest,1218
154.5,1546,electronics,medium,12/12/2017,northeast,92
14.7,2903,electronics,medium,12/12/2017,northeast,142
614.4000000000001,588,furniture,small,12/12/2017,midwest,19
164,377,furniture,small,12/12/2017,south,12
156.9,2329,electronics,medium,12/12/2017,south,139
122.1,416,electronics,small,12/12/2017,northeast,27
81.5,1407,appliances,medium,12/12/2017,northeast,474
123.3,585,electronics,small,12/12/2017,northeast,37
377.5,1551,materials,medium,12/12/2017,northeast,617
286.5,1063,appliances,medium,12/12/2017,northeast,395
501.6,951,furniture,small,12/12/2017,south,23
200,1377,furniture,medium,12/12/2017,northeast,34
428.8,9083,furniture,large,12/12/2017,midwest,186
119.5,406,appliances,small,12/12/2017,northeast,148
86.7,2791,electronics,medium,12/12/2017,northeast,156
135.9,2802,electronics,large,12/12/2017,west,253
172.5,1960,electronics,medium,12/12/2017,northeast,114
180,1525,appliances,medium,12/12/2017,northeast,596
233.7,3735,electronics,large,12/12/2017,south,365
198.29999999999998,808,electronics,medium,12/12/2017,northeast,87
414.40000000000003,5749,furniture,large,12/12/2017,northeast,172
180.29999999999998,898,electronics,medium,12/12/2017,south,83
150.4,595,furniture,small,12/12/2017,northeast,15
299.2,6091,furniture,large,12/12/2017,northeast,125
114,5405,materials,large,12/12/2017,northeast,1457
62,634,materials,small,12/12/2017,south,238
153.29999999999998,1389,electronics,medium,12/12/2017,south,76
88.5,343,electronics,small,12/12/2017,south,26
330.5,6702,materials,large,12/12/2017,west,1866
80.5,2292,appliances,medium,12/12/2017,west,884
29.7,7623,electronics,large,12/12/2017,northeast,373
27,351,electronics,small,12/12/2017,west,24
334.5,1712,materials,medium,12/12/2017,midwest,656
371.20000000000005,2467,furniture,medium,12/12/2017,northeast,60
420.8,779,furniture,small,12/12/2017,northeast,20
147,2559,electronics,medium,12/12/2017,northeast,141
392,1001,furniture,small,12/12/2017,midwest,21
194.7,1265,electronics,medium,12/12/2017,northeast,104
89.39999999999999,977,electronics,medium,12/12/2017,south,122
591.2,1161,furniture,medium,12/12/2017,south,46
105,1284,electronics,medium,12/12/2017,south,89
180.9,2335,electronics,medium,12/12/2017,northeast,159
199.20000000000002,2981,furniture,medium,12/12/2017,west,47
227.7,1264,electronics,medium,12/12/2017,south,118
147,2266,electronics,medium,12/12/2017,west,175
336.8,9728,furniture,large,12/12/2017,northeast,202
218,623,appliances,small,12/12/2017,northeast,184
447.20000000000005,983,furniture,small,12/12/2017,west,16
273.5,365,appliances,small,12/12/2017,west,135
166.5,430,appliances,small,12/12/2017,west,158
260,597,furniture,small,12/12/2017,northeast,19
494.40000000000003,2008,furniture,medium,12/12/2017,midwest,46
185.4,6622,electronics,large,12/12/2017,south,400
170.4,3242,electronics,large,12/12/2017,west,199
261.6,128,furniture,small,12/12/2017,south,6
188,607,appliances,small,12/12/2017,west,172
412,6712,furniture,large,12/12/2017,northeast,145
376.5,1484,appliances,medium,12/12/2017,south,458
523.2,592,furniture,small,12/12/2017,west,15
333.6,491,furniture,small,12/12/2017,west,10
-74.39999999999999,479,electronics,small,12/12/2017,northeast,34
198,1715,electronics,medium,12/12/2017,northeast,107
217.2,6360,electronics,large,12/12/2017,northeast,409
168.6,229,electronics,small,12/12/2017,northeast,18
482.40000000000003,217,furniture,small,12/12/2017,south,10
132.6,2028,electronics,medium,12/12/2017,northeast,120
438.40000000000003,2892,furniture,medium,12/12/2017,west,69
204,379,materials,small,12/12/2017,west,186
-142.4,3747,furniture,large,12/12/2017,midwest,123
202.2,3756,electronics,large,12/12/2017,northeast,366
64,1928,appliances,medium,12/12/2017,northeast,565
526.4,312,furniture,small,12/12/2017,northeast,12
232,838,appliances,medium,12/12/2017,west,236
289.5,873,appliances,medium,12/12/2017,west,273
226.4,3061,furniture,medium,12/12/2017,south,57
261.5,2717,appliances,medium,12/12/2017,south,870
205.60000000000002,2440,furniture,medium,12/12/2017,northeast,62
186.9,2005,electronics,medium,12/12/2017,west,141
118.5,430,electronics,small,12/12/2017,northeast,25
482.40000000000003,2264,furniture,medium,12/12/2017,northeast,39
148.79999999999998,340,electronics,small,12/12/2017,midwest,25
40.8,472,electronics,small,12/12/2017,west,36
436.8,5713,furniture,large,12/12/2017,northeast,155
266.5,1286,materials,medium,12/12/2017,northeast,567
252.8,6331,furniture,large,12/12/2017,northeast,156
113.5,236,materials,small,12/12/2017,northeast,93
274,2013,appliances,medium,12/12/2017,south,751
162.9,372,electronics,small,12/12/2017,west,29
98.1,2255,electronics,medium,12/12/2017,northeast,152
161.1,379,electronics,small,12/12/2017,west,36
136,4190,furniture,medium,12/12/2017,northeast,71
352,1009,materials,medium,12/12/2017,west,312
192,193,electronics,small,12/12/2017,northeast,26
210.6,476,electronics,small,12/12/2017,northeast,28
89.1,750,electronics,medium,05/12/2017,northeast,83
225.29999999999998,1835,electronics,medium,05/12/2017,west,103
45,893,electronics,medium,05/12/2017,northeast,129
96.6,1503,electronics,medium,05/12/2017,west,103
139.5,2311,electronics,medium,05/12/2017,northeast,168
747.2,3908,furniture,large,05/12/2017,west,136
467.20000000000005,378,furniture,small,05/12/2017,northeast,11
158.4,560,electronics,small,05/12/2017,west,40
128.5,3929,appliances,large,05/12/2017,west,1074
91.8,2012,electronics,medium,05/12/2017,west,141
431.20000000000005,6594,furniture,large,05/12/2017,northeast,159
106.5,1899,electronics,medium,05/12/2017,west,91
44,430,furniture,small,05/12/2017,south,14
287.5,5716,appliances,large,05/12/2017,midwest,1581
74.7,620,electronics,medium,05/12/2017,west,64
277,501,materials,small,05/12/2017,northeast,117
204,1464,materials,medium,05/12/2017,northeast,529
202.4,754,furniture,small,05/12/2017,south,20
114,1443,electronics,medium,05/12/2017,south,113
94,335,materials,small,05/12/2017,west,130
311.20000000000005,141,furniture,small,05/12/2017,northeast,6
96.3,681,electronics,medium,05/12/2017,northeast,109
80.7,2327,electronics,medium,05/12/2017,midwest,148
201.5,253,appliances,small,05/12/2017,northeast,88
99,1512,electronics,medium,05/12/2017,midwest,86
408,657,furniture,small,05/12/2017,west,15
128,5160,furniture,large,05/12/2017,south,119
183.5,608,appliances,medium,05/12/2017,south,279
27.9,1133,electronics,medium,05/12/2017,south,93
183,404,electronics,small,05/12/2017,midwest,35
353.6,484,furniture,small,05/12/2017,northeast,16
20.5,295,appliances,small,05/12/2017,northeast,131
150.5,2434,materials,medium,05/12/2017,northeast,674
43.199999999999996,387,electronics,medium,05/12/2017,northeast,29
195.20000000000002,5669,furniture,large,05/12/2017,northeast,135
93.60000000000001,3367,furniture,medium,05/12/2017,northeast,68
232.5,234,appliances,small,05/12/2017,northeast,110
114.3,1369,electronics,medium,05/12/2017,northeast,128
517.6,2539,furniture,medium,05/12/2017,midwest,65
205.5,563,electronics,small,05/12/2017,west,31
182,2171,appliances,medium,05/12/2017,west,675
388,435,furniture,small,05/12/2017,west,15
347.20000000000005,6622,furniture,large,05/12/2017,south,171
90.6,3816,electronics,large,05/12/2017,west,278
73.5,1434,materials,medium,05/12/2017,midwest,449
413.6,471,furniture,small,05/12/2017,northeast,11
174,108,appliances,small,05/12/2017,south,146
149.6,2620,furniture,medium,05/12/2017,northeast,59
183.9,1165,electronics,medium,05/12/2017,northeast,139
490.40000000000003,4211,furniture,medium,05/12/2017,west,90
160.5,2031,electronics,medium,05/12/2017,west,154
115.2,1015,furniture,medium,05/12/2017,midwest,39
119,586,appliances,small,05/12/2017,midwest,180
159.5,505,materials,small,05/12/2017,west,155
178,707,materials,small,05/12/2017,northeast,185
766.4000000000001,3057,furniture,medium,05/12/2017,northeast,64
75.6,3361,electronics,large,05/12/2017,south,271
18,309,electronics,small,05/12/2017,northeast,21
135.29999999999998,250,electronics,small,05/12/2017,midwest,20
536,2225,furniture,medium,05/12/2017,west,67
165.9,2840,electronics,medium,05/12/2017,west,146
69.3,1003,electronics,medium,05/12/2017,northeast,76
38.699999999999996,1108,electronics,large,05/12/2017,west,63
-207.20000000000002,514,furniture,small,05/12/2017,northeast,12
186,2649,appliances,large,05/12/2017,northeast,1036
420,6435,furniture,large,05/12/2017,northeast,164
188,2289,appliances,medium,05/12/2017,northeast,567
153.5,334,appliances,small,05/12/2017,west,108
283.2,1988,furniture,medium,05/12/2017,west,55
171.20000000000002,3091,furniture,medium,05/12/2017,northeast,77
158.4,445,electronics,small,05/12/2017,west,37
397.6,1546,furniture,medium,05/12/2017,northeast,33
142,286,materials,small,05/12/2017,northeast,159
225.9,1746,electronics,medium,05/12/2017,northeast,96
262.5,2791,appliances,medium,05/12/2017,west,834
55.5,305,electronics,small,05/12/2017,midwest,27
263.5,1434,appliances,medium,05/12/2017,west,472
212,4764,furniture,large,05/12/2017,northeast,133
170.4,2271,electronics,medium,05/12/2017,west,129
136,2215,furniture,medium,05/12/2017,west,78
297.5,360,appliances,small,05/12/2017,midwest,161
189.29999999999998,222,electronics,small,05/12/2017,west,25
68,502,materials,small,05/12/2017,northeast,155
114.89999999999999,533,electronics,small,05/12/2017,south,37
244,1720,materials,medium,05/12/2017,northeast,519
217.5,534,appliances,small,05/12/2017,northeast,149
138.6,595,electronics,small,05/12/2017,northeast,31
84.6,2523,electronics,large,05/12/2017,northeast,273
334.40000000000003,1900,furniture,medium,05/12/2017,west,40
122.39999999999999,1504,electronics,medium,05/12/2017,northeast,153
204.5,240,appliances,small,05/12/2017,south,129
-54.3,396,electronics,small,05/12/2017,west,22
241.5,218,electronics,small,05/12/2017,west,30
53.1,3491,electronics,large,05/12/2017,west,202
238.5,2607,materials,medium,05/12/2017,northeast,790
792.8000000000001,2531,furniture,medium,05/12/2017,northeast,72
104.7,1389,electronics,large,05/12/2017,south,284
310.40000000000003,503,furniture,small,05/12/2017,northeast,13
-51.2,1805,furniture,medium,05/12/2017,west,55
54.3,568,electronics,medium,05/12/2017,south,53
63.599999999999994,529,electronics,small,28/11/2017,west,29
521.6,6493,furniture,large,28/11/2017,south,145
145.2,532,electronics,small,28/11/2017,west,28
210,486,appliances,small,28/11/2017,west,161
101.7,1543,electronics,medium,28/11/2017,south,112
29.4,1148,electronics,medium,28/11/2017,south,91
267.5,3777,materials,large,28/11/2017,south,1706
324,5692,furniture,large,28/11/2017,south,182
175.5,1315,materials,medium,28/11/2017,midwest,516
254,6500,materials,large,28/11/2017,northeast,1773
16.8,742,electronics,medium,28/11/2017,northeast,111
123.5,1666,materials,medium,28/11/2017,west,717
228,1276,appliances,medium,28/11/2017,west,602
122.4,732,furniture,small,28/11/2017,south,19
253.60000000000002,1802,furniture,medium,28/11/2017,west,55
173.4,2367,electronics,large,28/11/2017,west,232
417.5,1489,appliances,medium,28/11/2017,midwest,524
591.2,7535,furniture,large,28/11/2017,northeast,142
135,2023,electronics,medium,28/11/2017,west,108
560.8000000000001,1644,furniture,medium,28/11/2017,south,58
266.40000000000003,7225,furniture,large,28/11/2017,northeast,169
40,2469,appliances,medium,28/11/2017,west,777
161.7,423,electronics,small,28/11/2017,west,35
165.60000000000002,1026,furniture,medium,28/11/2017,midwest,40
229.60000000000002,1446,furniture,medium,28/11/2017,west,50
10.4,2539,furniture,medium,28/11/2017,midwest,56
127.5,1485,appliances,medium,28/11/2017,west,634
141.6,5395,electronics,large,28/11/2017,west,347
219.29999999999998,2357,electronics,medium,28/11/2017,south,109
248.5,5217,materials,large,28/11/2017,northeast,1942
128.1,1170,electronics,medium,28/11/2017,northeast,107
336.8,679,furniture,medium,28/11/2017,midwest,61
133.79999999999998,5347,electronics,large,28/11/2017,west,430
148.8,2942,furniture,medium,28/11/2017,west,47
104.7,474,electronics,small,28/11/2017,west,27
76,544,appliances,small,28/11/2017,northeast,133
129,445,electronics,small,28/11/2017,west,26
103.8,1085,electronics,medium,28/11/2017,northeast,121
168.6,2017,electronics,medium,28/11/2017,northeast,181
301.6,192,furniture,small,28/11/2017,south,9
385,2579,materials,large,28/11/2017,west,1107
182.5,1172,appliances,medium,28/11/2017,northeast,529
131.7,489,electronics,medium,28/11/2017,west,53
364,1823,appliances,medium,28/11/2017,west,606
164.4,2087,electronics,medium,28/11/2017,northeast,131
166,1852,appliances,medium,28/11/2017,midwest,721
37.5,1645,appliances,medium,28/11/2017,south,540
97.2,683,electronics,small,28/11/2017,northeast,42
75.89999999999999,1705,electronics,medium,28/11/2017,northeast,118
52.8,944,electronics,medium,28/11/2017,west,98
-14.399999999999999,1365,electronics,medium,28/11/2017,northeast,117
27.9,1234,electronics,medium,28/11/2017,south,125
23.5,246,appliances,small,28/11/2017,west,102
97.5,529,electronics,small,28/11/2017,south,33
68.5,290,appliances,small,28/11/2017,south,80
216.29999999999998,198,electronics,small,28/11/2017,northeast,25
91.2,1209,electronics,medium,28/11/2017,northeast,110
128.8,3704,furniture,medium,28/11/2017,south,74
85.2,293,electronics,small,28/11/2017,west,15
127.19999999999999,396,electronics,small,28/11/2017,midwest,38
-30.5,270,materials,small,28/11/2017,west,115
17.099999999999998,962,electronics,medium,28/11/2017,northeast,112
33.9,385,electronics,small,28/11/2017,midwest,25
519.2,2131,furniture,medium,28/11/2017,west,54
194.5,2988,materials,large,28/11/2017,west,1639
501.6,2083,furniture,medium,28/11/2017,south,51
370,634,materials,small,28/11/2017,west,172
91.2,5748,electronics,large,28/11/2017,west,341
125,2014,appliances,medium,28/11/2017,midwest,488
189,332,materials,small,28/11/2017,midwest,198
319,1348,appliances,medium,28/11/2017,west,515
33.6,408,electronics,small,28/11/2017,midwest,29
234.4,4047,furniture,medium,28/11/2017,northeast,79
127.8,2148,electronics,medium,28/11/2017,west,153
142,691,materials,small,28/11/2017,midwest,221
155.1,536,electronics,small,28/11/2017,midwest,38
187,1359,materials,medium,28/11/2017,northeast,659
150.6,1730,electronics,medium,28/11/2017,south,180
418.40000000000003,1646,furniture,medium,28/11/2017,northeast,54
116,1709,appliances,medium,28/11/2017,south,552
149.4,1702,electronics,medium,28/11/2017,midwest,95
60,1439,appliances,medium,28/11/2017,midwest,631
73.2,465,electronics,small,28/11/2017,west,34
419.20000000000005,1808,furniture,medium,28/11/2017,midwest,58
155.7,1690,electronics,medium,28/11/2017,midwest,155
328,6106,appliances,large,28/11/2017,northeast,2109
245.60000000000002,1015,furniture,small,28/11/2017,northeast,18
476,8992,furniture,large,28/11/2017,south,200
138,2083,electronics,medium,28/11/2017,west,131
191,246,materials,small,28/11/2017,northeast,161
235,1453,materials,medium,28/11/2017,northeast,659
-29.099999999999998,511,electronics,small,28/11/2017,midwest,26
114.3,999,electronics,medium,28/11/2017,midwest,93
-24,2136,appliances,medium,28/11/2017,south,672
42.9,2693,electronics,large,28/11/2017,south,205
132.6,280,electronics,small,28/11/2017,south,18
63,335,electronics,small,28/11/2017,south,26
306,1236,appliances,medium,28/11/2017,west,465
62.400000000000006,372,furniture,small,28/11/2017,west,8
524,2964,furniture,medium,28/11/2017,south,65
49.5,2433,electronics,medium,21/11/2017,south,160
351.20000000000005,1047,furniture,medium,21/11/2017,northeast,40
42,4857,electronics,large,21/11/2017,midwest,326
288,1479,appliances,medium,21/11/2017,south,523
320,541,furniture,small,21/11/2017,midwest,14
109.5,4021,appliances,medium,21/11/2017,south,813
198.4,2579,furniture,medium,21/11/2017,northeast,50
114.5,1583,materials,large,21/11/2017,west,896
-10,558,appliances,small,21/11/2017,west,126
182.1,1928,electronics,medium,21/11/2017,northeast,198
37.199999999999996,520,electronics,small,21/11/2017,south,38
173.7,5356,electronics,large,21/11/2017,west,332
142.79999999999998,4482,electronics,large,21/11/2017,west,216
261,311,electronics,small,21/11/2017,northeast,26
-5.7,487,electronics,small,21/11/2017,northeast,30
156.29999999999998,575,electronics,small,21/11/2017,midwest,31
296,2533,furniture,medium,21/11/2017,northeast,60
227,1498,appliances,medium,21/11/2017,west,596
71.39999999999999,4091,electronics,large,21/11/2017,south,355
431.20000000000005,1229,furniture,medium,21/11/2017,northeast,53
68.1,1588,electronics,medium,21/11/2017,south,115
73.5,808,appliances,small,21/11/2017,northeast,210
249,1533,materials,medium,21/11/2017,south,689
3.5,1361,appliances,medium,21/11/2017,south,501
296,6626,furniture,large,21/11/2017,northeast,142
702.4000000000001,3845,furniture,medium,21/11/2017,northeast,73
139.5,2092,appliances,medium,21/11/2017,northeast,732
256,2220,furniture,medium,21/11/2017,midwest,61
140.8,694,furniture,small,21/11/2017,west,15
170.5,444,materials,small,21/11/2017,west,189
209.60000000000002,1698,furniture,medium,21/11/2017,northeast,45
36,589,electronics,small,21/11/2017,northeast,33
147.29999999999998,1329,electronics,large,21/11/2017,south,88
319.20000000000005,1328,furniture,small,21/11/2017,south,19
82.4,544,furniture,small,21/11/2017,west,12
114.6,307,electronics,small,21/11/2017,northeast,23
99,1224,electronics,medium,21/11/2017,west,118
216.5,107,appliances,small,21/11/2017,northeast,54
24.5,2115,appliances,medium,21/11/2017,northeast,803
255,1747,appliances,medium,21/11/2017,south,586
6.6,1248,electronics,medium,21/11/2017,northeast,83
104.1,1633,electronics,medium,21/11/2017,west,102
246.5,2175,appliances,medium,21/11/2017,northeast,783
91.8,2097,electronics,medium,21/11/2017,northeast,147
355,349,materials,small,21/11/2017,south,150
179.7,2756,electronics,large,21/11/2017,northeast,205
229.5,2497,materials,medium,21/11/2017,south,596
82,690,appliances,small,21/11/2017,south,182
350.5,4111,appliances,large,21/11/2017,west,1552
470.40000000000003,491,furniture,small,21/11/2017,northeast,9
134.4,4680,electronics,large,21/11/2017,northeast,448
341.6,1817,furniture,medium,21/11/2017,northeast,53
149.1,1461,electronics,medium,21/11/2017,midwest,111
113.1,2510,electronics,medium,21/11/2017,west,137
23.7,480,electronics,small,21/11/2017,northeast,33
-33,1854,appliances,medium,21/11/2017,midwest,565
176,333,materials,medium,21/11/2017,northeast,145
158.5,5275,appliances,large,21/11/2017,northeast,1840
119.39999999999999,658,electronics,small,21/11/2017,west,33
236.39999999999998,1503,electronics,medium,21/11/2017,northeast,106
328,1510,furniture,medium,21/11/2017,west,31
528.8000000000001,7648,furniture,large,21/11/2017,midwest,135
222.4,2393,furniture,medium,21/11/2017,northeast,55
218,1078,materials,medium,21/11/2017,midwest,462
128.5,1111,materials,medium,21/11/2017,west,275
172,2571,furniture,medium,21/11/2017,midwest,55
211,492,appliances,small,21/11/2017,west,165
126.3,2027,electronics,medium,21/11/2017,south,130
116.1,868,electronics,medium,21/11/2017,northeast,63
100.5,743,electronics,small,21/11/2017,northeast,51
204,1887,appliances,medium,21/11/2017,northeast,658
548,2835,furniture,medium,21/11/2017,west,63
112.2,4286,electronics,large,21/11/2017,west,339
264,1018,materials,medium,21/11/2017,northeast,516
-5.3999999999999995,667,electronics,small,21/11/2017,northeast,41
129.5,2264,appliances,medium,21/11/2017,south,634
478.40000000000003,9320,furniture,large,21/11/2017,northeast,147
102.89999999999999,667,electronics,small,21/11/2017,northeast,37
230.4,3454,furniture,medium,21/11/2017,south,75
19.8,1940,electronics,medium,21/11/2017,west,128
158.4,5496,furniture,large,21/11/2017,midwest,165
105,1915,electronics,medium,21/11/2017,northeast,114
253.60000000000002,1217,furniture,medium,21/11/2017,west,41
415.20000000000005,2494,furniture,medium,21/11/2017,west,60
91.2,7032,furniture,large,21/11/2017,west,143
283,262,materials,small,21/11/2017,west,147
154.5,1770,materials,medium,21/11/2017,west,761
47.1,2078,electronics,medium,21/11/2017,west,122
100.5,1499,electronics,medium,21/11/2017,west,114
130.5,478,electronics,small,21/11/2017,south,40
316.5,2403,appliances,medium,21/11/2017,northeast,571
656,747,furniture,small,21/11/2017,west,17
183.29999999999998,4758,electronics,large,21/11/2017,south,388
125.69999999999999,6183,electronics,large,21/11/2017,west,426
144.8,5193,furniture,large,21/11/2017,west,121
336,567,materials,small,21/11/2017,south,153
97,2452,appliances,medium,21/11/2017,south,673
109.8,975,electronics,medium,21/11/2017,south,80
85.8,1361,electronics,medium,21/11/2017,west,126
299.5,1680,appliances,medium,21/11/2017,west,607
96,1645,appliances,medium,14/11/2017,midwest,542
122.69999999999999,1560,electronics,medium,14/11/2017,south,120
495.20000000000005,4020,furniture,large,14/11/2017,northeast,119
165.5,355,materials,small,14/11/2017,west,124
224.7,70,electronics,small,14/11/2017,northeast,16
157.79999999999998,2047,electronics,medium,14/11/2017,northeast,130
97.5,505,appliances,small,14/11/2017,northeast,178
147.29999999999998,1481,electronics,medium,14/11/2017,west,137
233.7,2168,electronics,medium,14/11/2017,west,150
367.5,2032,appliances,medium,14/11/2017,west,782
34.8,2048,electronics,medium,14/11/2017,west,124
241.2,2604,electronics,medium,14/11/2017,west,145
93.5,1945,appliances,medium,14/11/2017,northeast,625
432.8,2410,furniture,medium,14/11/2017,northeast,51
275.2,6466,furniture,large,14/11/2017,northeast,141
109.5,1208,electronics,medium,14/11/2017,northeast,98
154.2,1237,electronics,medium,14/11/2017,northeast,75
113.60000000000001,3619,furniture,large,14/11/2017,northeast,101
138,2742,appliances,large,14/11/2017,northeast,1815
128.7,1213,electronics,medium,14/11/2017,west,140
159.6,432,electronics,small,14/11/2017,west,34
119.1,1482,electronics,medium,14/11/2017,south,120
352,2628,furniture,medium,14/11/2017,northeast,66
98.4,633,furniture,small,14/11/2017,west,14
90.5,302,appliances,small,14/11/2017,west,115
494.40000000000003,733,furniture,small,14/11/2017,south,19
209.5,1944,appliances,medium,14/11/2017,midwest,645
92.80000000000001,5253,furniture,medium,14/11/2017,midwest,91
286,2041,appliances,medium,14/11/2017,northeast,781
129.29999999999998,2603,electronics,medium,14/11/2017,west,137
117.89999999999999,400,electronics,small,14/11/2017,west,30
143,5631,appliances,large,14/11/2017,northeast,1108
93.3,357,electronics,small,14/11/2017,west,21
373.6,593,furniture,small,14/11/2017,west,17
260.8,1691,furniture,large,14/11/2017,northeast,75
57.9,1578,electronics,medium,14/11/2017,northeast,128
638.4000000000001,1735,furniture,medium,14/11/2017,midwest,39
104.1,2668,electronics,medium,14/11/2017,northeast,148
258.3,1381,electronics,medium,14/11/2017,west,77
310.40000000000003,1625,furniture,medium,14/11/2017,northeast,47
145.6,3115,furniture,medium,14/11/2017,west,67
181.60000000000002,479,furniture,small,14/11/2017,west,12
426.40000000000003,2750,furniture,large,14/11/2017,northeast,146
167.4,1722,electronics,medium,14/11/2017,west,120
326,6084,appliances,large,14/11/2017,south,1439
265.6,2334,furniture,medium,14/11/2017,northeast,55
54.3,3963,electronics,large,14/11/2017,midwest,342
494.40000000000003,3551,furniture,medium,14/11/2017,northeast,73
147.6,684,electronics,small,14/11/2017,west,33
